Sort	Isolate Sort	Realm	Subrealm	Kingdom	Subkingdom	Phylum	Subphylum	Class	Subclass	Order	Suborder	Family	Subfamily	Genus	Subgenus	Species	Exemplar or additional isolate	Virus name(s)	Virus name abbreviation(s)	Virus isolate designation	Virus GENBANK accession	Virus REFSEQ accession	Genome coverage	Genome composition	Host source	File_identifier
3356	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Korravirus		Korravirus gisselle	E	Arthrobacter phage Gisselle			MT498050	NC_054419	Complete genome	dsDNA	bacteria	Korravirus_gisselle.3356.MT498050
3357	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Korravirus		Korravirus glenn	E	Arthrobacter phage Glenn			KU160645	NC_041940	Complete genome	dsDNA	bacteria	Korravirus_glenn.3357.KU160645
3358	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Korravirus		Korravirus greenhearts	E	Arthrobacter phage GreenHearts			MK279854	NC_054420	Complete genome	dsDNA	bacteria	Korravirus_greenhearts.3358.MK279854
3359	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Korravirus		Korravirus greenhouse	E	Arthrobacter phage Greenhouse			KX688103	NC_054421	Complete genome	dsDNA	bacteria	Korravirus_greenhouse.3359.KX688103
3360	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Korravirus		Korravirus hunterdalle	E	Arthrobacter phage HunterDalle			KU160648	NC_041941	Complete genome	dsDNA	bacteria	Korravirus_hunterdalle.3360.KU160648
3361	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Korravirus		Korravirus huntingdon	E	Arthrobacter phage Huntingdon			MG210949	NC_054422	Complete genome	dsDNA	bacteria	Korravirus_huntingdon.3361.MG210949
3362	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Korravirus		Korravirus joann	E	Arthrobacter phage Joann			KU160652	NC_041942	Complete genome	dsDNA	bacteria	Korravirus_joann.3362.KU160652
3363	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Korravirus		Korravirus kittykat	E	Arthrobacter phage Kittykat			MW314848	NC_054423	Complete genome	dsDNA	bacteria	Korravirus_kittykat.3363.MW314848
3364	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Korravirus		Korravirus korra	E	Arthrobacter phage Korra			KU160653	NC_041943	Complete genome	dsDNA	bacteria	Korravirus_korra.3364.KU160653
3365	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Korravirus		Korravirus litotes	E	Arthrobacter phage Litotes			MK279863	NC_054424	Complete genome	dsDNA	bacteria	Korravirus_litotes.3365.MK279863
